time_sec,e_x,e_y,e_z,error_norm,error_integral
0.952000,-0.002806492,0.004135924,1.754558313,1.754565432,1.685213479
0.960000,-0.002940725,0.004189265,1.753126318,1.753133789,1.699244276
0.968000,-0.002940725,0.004189265,1.751828248,1.751835725,1.713264154
0.976000,-0.003064268,0.004238192,1.751590187,1.751597995,1.727277889
0.984000,-0.003064268,0.004238192,1.750246870,1.750254684,1.741285300
0.992000,-0.003181680,0.004302782,1.748578218,1.748586406,1.755280664
1.000000,-0.003297806,0.004371200,1.746847803,1.746856385,1.769262436
1.008000,-0.003297806,0.004371200,1.745362872,1.745371462,1.783231347
1.016000,-0.003403706,0.004460469,1.745107273,1.745116292,1.797193298
1.024000,-0.003505379,0.004549433,1.741713674,1.741723143,1.811140656
1.032000,-0.003505379,0.004549433,1.741713674,1.741723143,1.825074441
1.040000,-0.003726732,0.004659164,1.739830328,1.739840558,1.839000696
1.048000,-0.003726732,0.004659164,1.738142707,1.738152946,1.852912670
1.056000,-0.003820993,0.004767121,1.737746842,1.737757582,1.866816312
1.064000,-0.003936588,0.004790257,1.736018667,1.736029739,1.880711461
1.072000,-0.004046765,0.004814800,1.734401844,1.734413248,1.894593233
1.080000,-0.004125969,0.004926487,1.732256059,1.732267978,1.908459958
1.088000,-0.004125969,0.004926487,1.730349677,1.730361609,1.922310476
1.096000,-0.004228040,0.004951626,1.728518855,1.728531118,1.936146047
1.104000,-0.004292586,0.005078827,1.728093486,1.728106281,1.949972597
1.112000,-0.004386517,0.005117571,1.726076275,1.726089435,1.963789380
1.120000,-0.004478225,0.005152191,1.724153926,1.724167440,1.977590407
1.128000,-0.004569330,0.005185835,1.722136385,1.722150255,1.991375678
1.136000,-0.004645103,0.005241725,1.722132540,1.722146782,2.005152866
1.144000,-0.004725574,0.005274804,1.720033775,1.720048355,2.018921647
1.152000,-0.004795878,0.005323849,1.717755414,1.717770359,2.032672921
1.160000,-0.004865365,0.005373258,1.715493429,1.715508743,2.046406038
1.168000,-0.004937256,0.005411246,1.713207843,1.713223503,2.060120967
1.176000,-0.005002365,0.005459443,1.713243978,1.713259980,2.073826901
1.184000,-0.005068092,0.005507296,1.710808705,1.710825076,2.087523241
1.192000,-0.005133571,0.005556268,1.708259065,1.708275815,2.101199645
1.200000,-0.005168599,0.005679606,1.705212358,1.705229650,2.114853666
1.208000,-0.005168599,0.005679606,1.702551932,1.702569251,2.128484862
1.216000,-0.005288233,0.005735185,1.702925296,1.702943164,2.142106912
1.224000,-0.005288233,0.005735185,1.700195392,1.700213290,2.155719537
